provinceid,province_shorthand,noc_groupingid,noc_grouping,r2,euclidean distance,mae,rmse,mse,Average Actual,CV RMSE,CV MAE,MAPE
24,QC,51,Professional occupations in law [411],-0.16888136016786537,26.406861534196008,4.860429708410472,5.762449611746234,33.20582552791433,32.41904761904762,0.17774888637877634,0.14992512320302573,16.631616270962525
59,BC,21,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]",-0.16949825772961624,16.731774123492897,3.078287845045785,3.651172449133791,13.331060253313646,19.376190476190477,0.18843603202705728,0.15886961107387929,17.36575315467645
46,MB,56,Occupations in sales and services [63],-0.17385414408376199,9.183728070574306,1.6455615231886813,2.0040537640617857,4.016231489250211,21.938095238095237,0.09135039949055243,0.07500931622956872,7.43135511363132
47,SK,10,Health treating and consultation services professionals [311],-0.17522614354980393,7.307073412724976,1.2558577208758965,1.594534143924357,2.542539136140582,8.352380952380951,0.1909077367298261,0.150359248223454,14.44142410721834
59,BC,57,Professional occupations in social and community services [413],-0.1786250995364862,22.466544852879643,4.160027076285947,4.9026020186876895,24.03550655364061,36.89523809523809,0.13287899121378613,0.11275241172174096,11.677606081401752
13,NB,57,Professional occupations in social and community services [413],-0.179585026846258,6.209675741973047,1.1728940785761062,1.355062339462979,1.8361939438308819,5.538095238095237,0.2446802160681218,0.21178654901202265,22.91865195762361
11,PE,57,Professional occupations in social and community services [413],-0.1810525727347252,1.897800816959961,0.3560422186460693,0.4141340903651454,0.17150704480256646,1.2952380952380953,0.31973587859073727,0.27488553645468583,27.712036308619936
24,QC,21,"Supervisors, central control and process operators in processing, manufacturing and utilities and aircraft assemblers and inspectors [92-93]",-0.18144902452468914,26.195552524146837,4.330856710520017,5.716338205385448,32.67652247834932,45.709523809523816,0.1250579251100056,0.0947473600592982,9.601792594001324
11,PE,31,"Specialized middle management occupations [10, 20, 30, 40, 50]",-0.18731945912147263,2.246983456182846,0.4308884370300204,0.49033198920339904,0.24042545963616221,2.7476190476190476,0.17845704979673102,0.15682248141473878,16.057967394960645
48,AB,8,Professional occupations in finance [111],-0.19010957353837954,27.384352776293458,5.412853262635819,5.975755688320899,35.70965604649958,56.51904761904763,0.10572994309102608,0.09577042591233648,9.620249336024973
13,NB,18,"Natural and applied sciences and related occupations, except management [21-22]",-0.19247702057628935,9.385686801772785,1.6890166491837495,2.048124772298656,4.194815082903422,28.31904761904761,0.07232322215952883,0.0596424241346204,6.01903591988235
13,NB,53,"Middle management occupations in trades, transportation, production and utilities [70, 80, 90]",-0.19696814091053305,6.8439910343288854,1.325780264142259,1.4934812843052967,2.2304863465701987,8.21904761904762,0.1817097738726027,0.1613058258805761,16.231205216853272
10,NL,8,Professional occupations in finance [111],-0.1970744375417195,2.4979207346960792,0.4520205142691661,0.5450909927021185,0.297124190324981,2.4476190476190474,0.22270254565650757,0.1846776420165854,19.703984353308357
46,MB,20,Professional occupations in art and culture [51],-0.19876955091350923,3.3461182892318946,0.6167843141183496,0.730182873556252,0.5331670288348656,3.5999999999999996,0.2028285759878478,0.171328976143986,19.196428891502983
